code,name,sector,yahoo,bars_4h,sessions,bars_per_session,history_days,first_utc,last_utc,missing_frac,thin_frac,thin_bars,zero_volume_frac_full_bars,zero_volume_frac_all_bars,full_bars,halt_or_limit_bars,halt_or_limit_frac,corporate_action_bars,corporate_action_marked_bars,corporate_action_events,corporate_action_events_all_history,max_adj_ratio_step,corporate_action_source,daily_rows,corporate_action_splits,gap_anomaly_bars,return_invalid_bars,non_tradable_bars,non_tradable_frac,avg_daily_turnover_try,avg_daily_volume_lots,avg_daily_turnover_last_session_try,qc_verdict,qc_errors,qc_warns,max_abs_return_valid,status,exclusion_reasons,round_trip_cost_bps
TRALT,Türk Altın İşletmeleri A.Ş.,madencilik/altın,TRALT.IS,403,203,2.0,296,2025-11-24 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.054,0.0,0,0.0,0.0,403,3,0.0074,0,0,9,9,0.10369,daily adjclose/close ratio step,4257,0,2,9,8,0.0199,5051458163.0,101228912.0,2799175157.0,AMBER (insufficient history),0,12,0.1026,EXCLUDED,"['bar sayısı 403 < 800', 'geçmiş 296 gün < 300 gün']",120.0
DSTKF,Destek Finans Faktoring A.Ş.,faktoring,DSTKF.IS,797,401,2.0,587,2025-02-06 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0512,0.0,0,0.0,0.0,797,89,0.1117,0,0,0,0,0.0,daily adjclose/close ratio step,405,0,5,16,15,0.0188,1556451681.0,683358.0,48357792.0,RED,1,11,0.1466,EXCLUDED,"['bar sayısı 797 < 800', 'halt/marj bayrağı %11.2 > %5', '1 QC ERROR: 52 zero-range bars (high==low==open==close): 6.52% of data']",120.0
THYAO,Türk Hava Yolları A.O.,havacılık,THYAO.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,0,0.0,4,6,4,4,0.06723,daily adjclose/close ratio step,6775,0,9,26,25,0.0216,12294037546.0,39061457.0,8136983292.0,AMBER,0,10,0.083,INCLUDED,[],120.0
ASELS,Aselsan Elektronik Sanayi ve Ticaret A.Ş.,elektronik/savunma,ASELS.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,0,0.0,6,9,28,28,0.04194,daily adjclose/close ratio step,6775,0,9,26,25,0.0237,10741147983.0,28600586.0,5294063730.0,AMBER,0,10,0.0906,INCLUDED,[],120.0
AKBNK,Akbank T.A.Ş.,banka,AKBNK.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,4,0.0028,6,9,21,21,1.00003,daily adjclose/close ratio step,6775,0,9,26,25,0.0237,8468014617.0,120673552.0,9869046342.0,AMBER,0,11,0.107,INCLUDED,[],120.0
ASTOR,Astor Enerji A.Ş.,elektrik ekipman,ASTOR.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,3,0.0021,4,6,3,3,0.0138,daily adjclose/close ratio step,915,0,9,26,25,0.0216,7430296599.0,23893687.0,5916906819.0,AMBER,0,11,0.1011,INCLUDED,[],120.0
TUPRS,Tüpraş-Türkiye Petrol Rafinerileri A.Ş.,enerji/rafineri,TUPRS.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,0,0.0,10,15,24,24,1.00016,daily adjclose/close ratio step,6775,0,9,26,25,0.0272,7322180208.0,22143428.0,4994078182.0,AMBER,0,10,0.0863,INCLUDED,[],120.0
YKBNK,Yapı ve Kredi Bankası A.Ş.,banka,YKBNK.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,2,0.0014,2,3,7,7,0.09081,daily adjclose/close ratio step,6775,0,9,26,25,0.0195,6747055284.0,190741956.0,7994251183.0,AMBER,0,11,0.1084,INCLUDED,[],120.0
ISCTR,Türkiye İş Bankası A.Ş. (C),banka,ISCTR.IS,1435,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0484,0.0,0,0.0,0.0,1435,1,0.0007,6,9,17,17,0.07662,daily adjclose/close ratio step,4792,0,9,27,26,0.0237,6741923197.0,510457407.0,6800340955.0,AMBER,0,10,0.1065,INCLUDED,[],120.0
SASA,Sasa Polyester Sanayi A.Ş.,tekstil/kimya,SASA.IS,1436,722,2.0,1055,2023-10-27 07:00:00+00:00,2026-09-16 07:00:00+00:00,0.0477,0.0,0,0.0,0.0,1436,8,0.0056,0,0,2,2,0.06111,daily adjclose/close ratio step,6776,0,9,26,25,0.0174,6084157157.0,2406224588.0,11651296429.0,AMBER,0,11,0.1121,INCLUDED,[],120.0
