direction,signal_bar,signal_timestamp_utc,entry_bar,entry_timestamp_utc,entry_price,stop_price,tp_price,exit_bar,exit_timestamp_utc,exit_price,exit_reason,bars_held,units,notional_entry,notional_exit,cost_entry,cost_exit,cost_total,gross_pnl,net_pnl,r_multiple,equity_before,equity_after,return_frac,atr_at_entry,stop_distance_atr
long,539,2017-11-15 00:00:00+00:00,540,2017-11-15 04:00:00+00:00,6815.06,5305.861188863414,11342.65643340976,630,2017-11-30 04:00:00+00:00,10070.0,time_stop,90,0.33130161269040964,2257.8403685819035,3336.2072397924253,3.4996525713019504,5.171121221678259,8.67077379298021,1078.3668712105218,1069.6960974175415,2.1567337424210438,100000.0,101069.69609741755,0.010696960974175416,294.1388111365857,5.130906748772361
long,649,2017-12-03 08:00:00+00:00,650,2017-12-03 12:00:00+00:00,11601.97,10148.211325799639,15963.24602260108,676,2017-12-07 20:00:00+00:00,15963.24602260108,take_profit,26,0.3476151093406576,4033.020070117029,5549.065511578292,6.251181108681394,8.601051542946353,14.852232651627748,1516.0454414612632,1501.1932088096355,3.0,101069.69609741755,102570.88930622718,0.014853049596218117,471.7886742003604,3.0813767979156164
long,792,2017-12-27 04:00:00+00:00,793,2017-12-27 08:00:00+00:00,16073.69,10678.05072344144,32260.607829675682,883,2018-01-11 08:00:00+00:00,13385.1,time_stop,90,0.09504980230224805,1527.8010567676215,1272.2511087958203,2.368091637989813,1.9719892186335215,4.340080856623334,-255.5499479718011,-259.8900288284244,-0.49828942636707046,102570.88930622718,102310.99927739876,-0.002533760120305852,961.9492765585604,5.609068386497291
short,913,2018-01-16 08:00:00+00:00,914,2018-01-16 12:00:00+00:00,12140.0,15022.148914258507,3493.5532572244792,1004,2018-01-31 12:00:00+00:00,10017.47,time_stop,90,0.17348166762876494,2106.0674450132065,1737.8474010211237,3.26440453977047,2.6936634715827417,5.958068011353212,368.22004399208254,362.26197598072935,0.736440087984165,102310.99927739876,102673.26125337949,0.0036226197598072936,772.1589142585074,3.7325851726081427
short,1009,2018-02-01 08:00:00+00:00,1010,2018-02-01 12:00:00+00:00,9591.45,10848.42400536938,5820.527983891865,1098,2018-02-17 08:00:00+00:00,10848.42400536938,stop,88,0.39922170843337346,3829.1150553532802,4330.926365233184,5.935128335797584,6.712935866111435,12.648064201909019,-501.81130987990366,-514.4593740818127,-1.0,102673.26125337949,102158.80187929768,-0.005126024104607527,422.57400536937973,2.974565376473251
long,1114,2018-02-20 00:00:00+00:00,1115,2018-02-20 04:00:00+00:00,11424.1,9885.978029748432,16038.465910754705,1129,2018-02-22 12:00:00+00:00,9885.978029748432,stop,14,0.3325841554056511,3799.474649769699,3287.9196533827053,5.889185707143033,5.096275462743193,10.985461169886227,-511.5549963869938,-522.54045755688,-1.0,102158.80187929768,101636.2614217408,-0.005107373217420163,384.3519702515675,4.001857904474461
long,1174,2018-03-02 00:00:00+00:00,1175,2018-03-02 04:00:00+00:00,11117.97,9939.440432056876,14653.55870382937,1208,2018-03-07 16:00:00+00:00,9939.440432056876,stop,33,0.431845163619833,4801.241573770394,4292.299279671185,7.441924439344111,6.653063883490336,14.094988322834446,-508.9422940992094,-523.0372824220437,-1.0,101636.2614217408,101113.22413931876,-0.005138473344485758,300.5595679431238,3.9211181198069265
short,1216,2018-03-09 00:00:00+00:00,1217,2018-03-09 04:00:00+00:00,8953.01,12114.198810255008,-530.556430765022,1307,2018-03-24 04:00:00+00:00,8930.0,time_stop,90,0.15792761615185583,1413.9275266837267,1410.2936122360725,2.1915876663597764,2.1859550989659122,4.377542765325689,3.633914447654237,-0.7436283176714515,0.007278907202681146,101113.22413931876,101112.4805110011,-7.447618257923576e-06,404.198810255008,7.820876088825252
short,1320,2018-03-26 08:00:00+00:00,1321,2018-03-26 12:00:00+00:00,8089.0,8919.173664399774,5598.479006800679,1411,2018-04-10 12:00:00+00:00,6837.54,time_stop,90,0.6013624814620684,4864.421112546671,4111.840021496151,7.539852724447339,6.373352033319034,13.913204757766373,752.5810910505202,738.6678862927538,1.5074677187029557,101112.4805110011,101851.14839729384,0.007397993430013792,249.32366439977343,3.3297026433425394
long,1440,2018-04-15 08:00:00+00:00,1441,2018-04-15 12:00:00+00:00,8330.0,7552.086673723449,10663.739978829653,1531,2018-04-30 12:00:00+00:00,9318.06,time_stop,90,0.6508785626679163,5421.818427023743,6064.925499653404,8.403818561886801,9.400634524462776,17.804453086349575,643.107072629661,625.3026195433114,1.2701415011480865,101851.14839729384,102476.45101683715,0.006174887834859287,216.38332627655097,3.595070561408833
long,1549,2018-05-03 12:00:00+00:00,1550,2018-05-03 16:00:00+00:00,9442.0,8633.904498294938,11866.286505115186,1596,2018-05-11 08:00:00+00:00,8633.904498294938,stop,46,0.6304373922511398,5952.589857635262,5443.136236850446,9.226514279334657,8.436861167118192,17.663375446452847,-509.4536207848157,-527.1169962312686,-1.0,102476.45101683715,101949.33402060588,-0.0051733560693831395,166.58550170506203,4.850935366126801
short,1624,2018-05-16 00:00:00+00:00,1625,2018-05-16 04:00:00+00:00,8138.03,9106.563983126445,5232.428050620663,1715,2018-05-31 04:00:00+00:00,7558.98,time_stop,90,0.5192679276734381,4225.817973444269,3925.1358799249647,6.550017858838617,6.083960613883695,12.633978472722312,300.68209351930443,288.04811504658215,0.5978623466889784,101949.33402060588,102237.38213565246,0.0028637076455972927,226.57398312644605,4.274691956074796
short,1774,2018-06-10 00:00:00+00:00,1775,2018-06-10 04:00:00+00:00,7261.03,7788.347311902437,5679.078064292689,1865,2018-06-25 04:00:00+00:00,6148.32,time_stop,90,0.9564807820455555,6945.03565285624,5880.74992186633,10.76480526192717,9.11516237889281,19.87996764081998,1064.2857309899102,1044.4057633490902,2.1101336422762302,102237.38213565246,103281.78789900155,0.010353590550257015,104.36731190243717,5.0525140706447855
short,1885,2018-06-28 20:00:00+00:00,1886,2018-06-29 00:00:00+00:00,5851.01,6315.549657322452,4457.391028032645,1892,2018-06-30 00:00:00+00:00,6315.549657322452,stop,6,1.096980409871929,6418.443347964755,6928.034251656103,9.94858718934537,10.73845309006696,20.68704027941233,-509.5909036913484,-530.2779439707607,-1.0,103281.78789900155,102751.50995503078,-0.005202976938261266,125.11965732245127,3.7127631841675077
short,1953,2018-07-10 08:00:00+00:00,1954,2018-07-10 12:00:00+00:00,6365.06,6925.05845231291,4685.064643061271,1997,2018-07-17 16:00:00+00:00,6925.05845231291,stop,43,0.9052516339602892,5761.9809652552785,6268.920479226773,8.931070496145681,9.716826742801498,18.64789723894718,-506.93951397149453,-525.5874112104417,-1.0,102751.50995503078,102225.92254382034,-0.005183926254760205,106.89845231291007,5.238602058275815
long,2030,2018-07-23 04:00:00+00:00,2031,2018-07-23 08:00:00+00:00,7758.95,7070.970127025754,9822.889618922738,2104,2018-08-04 12:00:00+00:00,7070.970127025754,stop,73,0.7366756728108987,5715.829711556123,5209.011675752463,8.85953605291199,8.073968097416317,16.933504150328307,-506.81803580365937,-523.7515399539877,-1.0,102225.92254382034,101702.17100386636,-0.00516705703974679,140.02987297424608,4.9130936018257865
short,2124,2018-08-07 20:00:00+00:00,2125,2018-08-08 00:00:00+00:00,6720.63,7303.894184431606,4970.837446705183,2215,2018-08-23 00:00:00+00:00,6399.0,time_stop,90,0.8646366267232691,5810.902852655205,5532.809774402199,9.006899421615566,8.575855150323408,17.582754571938974,278.09307825300516,260.51032368106615,0.5514310814634201,101702.17100386636,101962.68132754743,0.002582831087028028,143.89418443160565,4.053424304363302
long,2272,2018-09-01 12:00:00+00:00,2273,2018-09-01 16:00:00+00:00,7167.02,6786.890870575998,8307.407388272008,2298,2018-09-05 20:00:00+00:00,6786.890870575998,stop,25,1.326389479458957,9506.259927071935,9002.060648968045,14.734702886961498,13.95319400590047,28.687896892861968,-504.19927810388947,-532.8871749967515,-1.0,101962.68132754743,101429.79415255068,-0.005284489666474205,101.1091294240019,3.7595925470778044
short,2315,2018-09-08 16:00:00+00:00,2316,2018-09-08 20:00:00+00:00,6176.05,7538.134226020849,2089.7973219374526,2406,2018-09-23 20:00:00+00:00,6708.0,time_stop,90,0.3712062138851231,2292.5881372652148,2490.051282741406,3.5535116127610826,3.859579488249179,7.413091101010261,-197.46314547619116,-204.8762365772014,-0.3905411940302856,101429.79415255068,101224.91791597348,-0.0020260137624248196,128.13422602084898,10.630135821784428
short,2619,2018-10-29 08:00:00+00:00,2620,2018-10-29 12:00:00+00:00,6427.41,6552.7003752727815,6051.538874181655,2671,2018-11-07 00:00:00+00:00,6552.7003752727815,stop,51,4.027362407147168,25885.509409321778,26390.09915667274,40.12253958444875,40.90465369284274,81.0271932772915,-504.58974735096166,-585.6169406282531,-1.0,101224.91791597348,100639.30097534522,-0.005802901700863671,38.53037527278177,3.2517299503513515
short,2715,2018-11-14 12:00:00+00:00,2716,2018-11-14 16:00:00+00:00,6231.36,6557.222326332362,5253.773021002912,2744,2018-11-19 08:00:00+00:00,5253.773021002912,take_profit,28,1.5394896006976635,9593.113918203391,8088.128930259931,14.869326573215256,12.536599841902893,27.40592641511815,1504.9849879434614,1477.5790615283433,3.0,100639.30097534522,102116.88003687357,0.014726848507114669,59.222326332362094,5.502356062536077
short,2829,2018-12-03 12:00:00+00:00,2830,2018-12-03 16:00:00+00:00,3882.82,4398.850860370943,2334.7274188871706,2920,2018-12-18 16:00:00+00:00,3536.07,time_stop,90,0.9864711532747041,3830.289923358087,3488.2310509600834,5.936949381205035,5.4067581289881295,11.343707510193164,342.05887239800364,330.7151648878105,0.6719559364157843,102116.88003687357,102447.59520176137,0.003248359218855716,130.8508603709429,3.9436566095788113
short,2958,2018-12-25 00:00:00+00:00,2959,2018-12-25 04:00:00+00:00,3709.1,4330.210290499232,1845.7691285023047,3049,2019-01-09 04:00:00+00:00,3987.88,time_stop,90,0.822242267745092,3049.778795293321,3279.003494695298,4.727157132704647,5.082455416777711,9.80961254948236,-229.22469940197692,-239.03431195145927,-0.4488413801290015,102447.59520176137,102208.56088980992,-0.0023402471625959946,132.21029049923175,4.697896723121117
short,3117,2019-01-20 12:00:00+00:00,3118,2019-01-20 16:00:00+00:00,3524.57,3770.3289945252945,2787.293016424117,3208,2019-02-04 16:00:00+00:00,3469.03,time_stop,90,2.073201687711591,7307.144472457642,7191.998850722141,11.326073932309345,11.147598218619317,22.473672150928664,115.14562173550168,92.67194958457301,0.22599376314702324,102208.56088980992,102301.23283939449,0.0009094259212433279,50.32899452529468,4.883049956457588
long,3288,2019-02-18 00:00:00+00:00,3289,2019-02-18 04:00:00+00:00,3734.14,3533.520113418273,4335.999659745181,3379,2019-03-05 04:00:00+00:00,3729.2,time_stop,90,2.4999258586690236,9335.073145890348,9322.723512148523,14.469363376130039,14.450221443830209,28.91958481996025,-12.349633741825112,-41.26921856178536,-0.024623680554159012,102301.23283939449,102259.9636208327,-0.00041142922771205656,39.92988658172699,5.024303942639698
long,3382,2019-03-05 16:00:00+00:00,3383,2019-03-05 20:00:00+00:00,3855.04,3628.005183608265,4536.144449175205,3473,2019-03-21 00:00:00+00:00,4041.06,time_stop,90,2.208156899032984,8512.533172048114,8923.29451840623,13.194426416674576,13.831106503529655,27.02553292020423,410.7613463581156,383.73581343791136,0.81934569752964,102259.9636208327,102643.69943427062,0.0038271893219265335,42.68481639173535,5.318865947744681
long,3511,2019-03-27 08:00:00+00:00,3512,2019-03-27 12:00:00+00:00,4033.25,3858.8899411360912,4556.330176591726,3546,2019-04-02 04:00:00+00:00,4556.330176591726,take_profit,34,2.886252611305207,11640.978344546727,13150.719870156585,18.043516434047426,20.383615798742706,38.42713223279013,1509.7415256098575,1471.3143933770673,2.9999999999999973,102643.69943427062,104115.01382764768,0.014618208167613965,35.110058863908804,4.96609987296664
long,3635,2019-04-17 00:00:00+00:00,3636,2019-04-17 04:00:00+00:00,5200.57,4878.135612172196,6167.873163483412,3726,2019-05-02 04:00:00+00:00,5406.31,time_stop,90,1.58358961216897,8235.56862935758,8561.376356165225,12.765131375504248,13.270133352056098,26.035264727560346,325.807726807645,299.7724620800846,0.6380833055247073,104115.01382764768,104414.78628972777,0.0029354706437375385,71.86438782780414,4.486706108182489
long,3726,2019-05-02 04:00:00+00:00,3727,2019-05-02 08:00:00+00:00,5408.04,5125.122216070077,6256.793351789768,3773,2019-05-10 00:00:00+00:00,6256.793351789768,take_profit,46,1.8100757130467882,9788.961859185552,11325.269687627268,15.172890881737606,17.554168015822263,32.72705889755987,1536.307828441716,1503.580769544156,3.0,104414.78628972777,105918.36705927193,0.014680463853418407,53.677783929923216,5.270668109161775
long,3830,2019-05-19 20:00:00+00:00,3831,2019-05-20 00:00:00+00:00,8147.94,6630.771970992855,12699.444087021433,3921,2019-06-04 00:00:00+00:00,7895.93,time_stop,90,0.342493714205367,2790.6182337224777,2704.3063928055835,4.325458262269841,4.191674908848654,8.517133171118495,-86.3118409168943,-94.82897408801279,-0.1661055302918017,105918.36705927193,105823.53808518391,-0.0009124829722426726,282.22802900714504,5.375681622921779
long,3979,2019-06-13 16:00:00+00:00,3980,2019-06-13 20:00:00+00:00,8225.62,7546.190014645388,10263.909956063839,4029,2019-06-22 00:00:00+00:00,10263.909956063839,take_profit,49,0.7640910463892706,6285.122593000513,7842.561698374071,9.741940019150794,12.155970632479809,21.897910651630603,1557.4391053735583,1535.5411947219275,3.0,105823.53808518391,107359.07927990584,0.014789096948547674,146.03998535461176,4.652355885306566
long,4100,2019-07-03 20:00:00+00:00,4101,2019-07-04 00:00:00+00:00,11940.0,9194.905237531557,20175.28428740533,4181,2019-07-17 08:00:00+00:00,9194.905237531557,stop,80,0.1919147133404356,2291.461677284801,1764.6376028533386,3.551765599791442,2.7351882844226747,6.286953884214117,-526.8240744314625,-533.1110283156765,-1.0,107359.07927990584,106825.96825159017,-0.005059668437618373,532.0947624684438,5.159033608475412
short,4181,2019-07-17 08:00:00+00:00,4182,2019-07-17 12:00:00+00:00,9157.04,11538.932053635042,2011.3638390948763,4272,2019-08-01 12:00:00+00:00,10013.86,time_stop,90,0.21410345661542127,1960.5539163656774,2144.0020400629023,3.0388585703668,3.3232031620974984,6.362061732464298,-183.44812369722518,-189.81018542968948,-0.3597224310364501,106825.96825159017,106636.15806616048,-0.0018609888169513085,438.93205363504234,5.42656211572898
long,4290,2019-08-04 12:00:00+00:00,4291,2019-08-04 16:00:00+00:00,10944.22,9668.247313189922,14772.13806043023,4381,2019-08-19 20:00:00+00:00,10915.54,time_stop,90,0.4107913317488612,4495.790708752521,4484.009213357965,6.968475598566407,6.950214280704845,13.918689879271252,-11.78149539455671,-25.700185273827962,-0.022476970154979004,106636.15806616048,106610.45788088665,-0.00024515661129238044,195.2126868100763,6.536320500785275
short,4391,2019-08-21 12:00:00+00:00,4392,2019-08-21 16:00:00+00:00,9986.77,11074.919223886764,6722.322328339711,4482,2019-09-05 16:00:00+00:00,10533.0,time_stop,90,0.46778719303106275,4671.683105746827,4927.202504196184,7.241108813907582,7.637163881504085,14.878272695411667,-255.5193984493572,-270.3976711447689,-0.5019807835261042,106610.45788088665,106340.06020974187,-0.002656049514216959,232.8892238867637,4.672389755636986
