direction,signal_bar,signal_timestamp_utc,entry_bar,entry_timestamp_utc,entry_price,stop_price,tp_price,exit_bar,exit_timestamp_utc,exit_price,exit_reason,bars_held,units,notional_entry,notional_exit,cost_entry,cost_exit,cost_total,gross_pnl,net_pnl,r_multiple,equity_before,equity_after,return_frac,atr_at_entry,stop_distance_atr
long,510,2024-08-26 06:00:00+00:00,511,2024-08-26 10:00:00+00:00,2561.0,2494.134023989405,2761.5979280317856,601,2024-09-17 06:00:00+00:00,2600.5,time_stop,90,7.477644533608136,19150.247650570436,19445.614609647957,19.150247650570435,19.445614609647958,38.5958622602184,295.36695907752136,256.771096817303,0.5907339181550427,100000.0,100256.7710968173,0.0025677109681730296,12.265878354345206,5.45138098380927
long,619,2024-09-20 06:00:00+00:00,620,2024-09-20 10:00:00+00:00,2631.39990234375,2558.3465297834837,2850.560020024549,710,2024-10-11 10:00:00+00:00,2666.89990234375,time_stop,90,6.86188519319277,18056.36402726148,18299.96095161982,18.05636402726148,18.299960951619823,36.356324978881304,243.59692435834333,207.24059937946203,0.48594607963805936,100256.7710968173,100464.01169619677,0.002067098282861425,14.15347021651636,5.161516677020796
long,711,2024-10-11 14:00:00+00:00,712,2024-10-11 18:00:00+00:00,2677.0,2605.5761657865887,2891.271502640234,802,2024-11-01 18:00:00+00:00,2745.800048828125,time_stop,90,7.032947250914499,18827.199790698112,19311.066904966658,18.827199790698113,19.31106690496666,38.13826669566477,483.86711426854504,445.7288475728803,0.9632645682749749,100464.01169619677,100909.74054376966,0.004436701661095961,13.223883041536297,5.401124162174498
short,836,2024-11-11 11:00:00+00:00,837,2024-11-11 15:00:00+00:00,2628.89990234375,2736.673072928025,2305.5803905909256,927,2024-12-03 23:00:00+00:00,2668.10009765625,time_stop,90,4.639373577759019,12196.44874550686,12378.313095882666,12.19644874550686,12.378313095882666,24.574761841389524,-181.86435037580546,-206.439112217195,-0.3637287007516109,100909.74054376966,100703.30143155246,-0.00206439112217195,18.373024099899798,5.865837327501386
long,956,2024-12-10 19:00:00+00:00,957,2024-12-10 23:00:00+00:00,2721.199951171875,2586.8913908759046,3124.1256320597863,1047,2025-01-03 15:00:00+00:00,2656.10009765625,time_stop,90,3.7566384570499034,10222.564385894584,9978.007772629473,10.222564385894584,9.978007772629473,20.200572158524057,-244.55661326511222,-264.75718542363626,-0.48470368063038605,100703.30143155246,100438.54424612883,-0.0026237029646191358,30.60860912409563,4.387934118517015
long,1070,2025-01-09 11:00:00+00:00,1071,2025-01-09 15:00:00+00:00,2691.800048828125,2612.2264307783935,2930.5209029773196,1161,2025-01-31 11:00:00+00:00,2856.39990234375,time_stop,90,6.324017043905521,17022.989387574777,18063.92166663194,17.02298938757478,18.06392166663194,35.08691105420672,1040.9322790571646,1005.8453680029579,2.0685229294557677,100438.54424612883,101444.3896141318,0.00999399408137065,12.373666877856628,6.430884137678943
long,1176,2025-02-04 23:00:00+00:00,1177,2025-02-05 03:00:00+00:00,2881.300048828125,2785.146288486373,3169.7613298533806,1267,2025-02-26 23:00:00+00:00,2919.10009765625,time_stop,90,5.285847811102723,15230.113556228314,15429.918861586035,15.230113556228314,15.429918861586035,30.66003241781435,199.80530535772058,169.14527293990625,0.3931208586515515,101444.3896141318,101613.5348870717,0.001663983216460113,30.953809169876667,3.106362768280095
long,1325,2025-03-12 14:00:00+00:00,1326,2025-03-12 18:00:00+00:00,2943.800048828125,2866.542529647333,3175.5726063705006,1406,2025-04-01 02:00:00+00:00,3175.5726063705006,take_profit,80,6.589648171397916,19398.606608721348,20925.906218710683,19.398606608721348,20.925906218710683,40.32451282743203,1527.2996099893335,1486.9750971619014,3.0,101613.5348870717,103100.5099842336,0.01460396264854955,15.957470352666885,4.841464058736618
long,1452,2025-04-10 18:00:00+00:00,1453,2025-04-10 22:00:00+00:00,3194.199951171875,2917.527449351648,4024.2174566325557,1543,2025-05-04 22:00:00+00:00,3272.10009765625,time_stop,90,1.8669536801958082,5963.423354121603,6108.859319288399,5.963423354121603,6.108859319288399,12.072282673410001,145.43596516679645,133.36368249338645,0.28156085614533555,103100.5099842336,103233.873666727,0.0012909459011210724,48.272599476477104,5.7314605971250305
long,1548,2025-05-05 18:00:00+00:00,1549,2025-05-05 22:00:00+00:00,3345.699951171875,3200.1824193783127,3782.252546552562,1588,2025-05-14 10:00:00+00:00,3200.1824193783127,stop,39,3.5542216633281436,11891.35924545099,11374.15768155627,11.89135924545099,11.37415768155627,23.265516927007262,-517.201563894721,-540.4670808217282,-1.0,103233.873666727,102693.40658590526,-0.005224917310301705,29.317580621687398,4.963490462303601
long,1616,2025-05-21 02:00:00+00:00,1617,2025-05-21 06:00:00+00:00,3317.89990234375,3179.3395403358445,3733.5809883674665,1707,2025-06-11 06:00:00+00:00,3354.699951171875,time_stop,90,3.713177571384071,12319.951501480213,12456.596617414645,12.319951501480213,12.456596617414645,24.77654811889486,136.64511593443243,111.86856781553756,0.2655885730583281,102693.40658590526,102805.2751537208,0.0010871597236766191,28.06036200790554,4.9379392172085455
long,1711,2025-06-11 22:00:00+00:00,1712,2025-06-12 02:00:00+00:00,3391.300048828125,3312.838985802651,3626.6832379045463,1762,2025-06-24 10:00:00+00:00,3312.838985802651,stop,50,6.564511765058128,22262.229069374433,21747.170498044743,22.262229069374435,21.747170498044742,44.00939956741918,-515.0585713296899,-559.0679708971091,-1.0,102805.2751537208,102246.20718282368,-0.005427227135098473,22.56091654109874,3.4777427097229374
short,1780,2025-06-27 10:00:00+00:00,1781,2025-06-27 14:00:00+00:00,3286.10009765625,3385.404510288438,2988.1868597596863,1840,2025-07-14 06:00:00+00:00,3385.404510288438,stop,59,5.024628727094266,16511.432950790866,17010.40075522978,16.511432950790866,17.01040075522978,33.521833706020644,-498.967804438914,-532.4896381449346,-1.0,102246.20718282368,101713.71754467874,-0.005335911790378095,21.504607944687955,4.617820184753379
long,1871,2025-07-21 10:00:00+00:00,1872,2025-07-21 14:00:00+00:00,3400.300048828125,3320.5981685274824,3639.405689730053,1901,2025-07-28 10:00:00+00:00,3320.5981685274824,stop,29,6.427241484678925,21854.549534183898,21342.286302708693,21.8545495341839,21.342286302708693,43.19683583689259,-512.2632314752044,-555.460067312097,-1.0,101713.71754467874,101158.25747736664,-0.005421627331250139,16.60178264439277,4.800802540777863
long,1931,2025-08-04 10:00:00+00:00,1932,2025-08-04 14:00:00+00:00,3437.5,3310.3640112168355,3818.9079663494936,2022,2025-08-25 14:00:00+00:00,3415.5,time_stop,90,4.0074092002980555,13775.469126024565,13687.30612361801,13.775469126024566,13.68730612361801,27.462775249642576,-88.16300240655723,-115.6257776561998,-0.17304305579061388,101158.25747736664,101042.63169971044,-0.0011347298383469508,21.035891126914454,6.043765296945271
